RTA ID,RTA Name,Parties concerned,Changes affect,Date of notification of changes,Date of signature of changes,Date of entry into force of changes,Remarks
135,Latin American Integration Association (LAIA)," Argentina, Uruguay",Goods,2020-03-17,1984-05-14,1984-05-14,"AAP.AG 1 (Articles 7 and 8 of the TM80)

Agricultural Partial Scope Agreement No. 1 (AAP.AG 1) is intended to establish preferential treatment to regulate trade in livestock of the bovine, ovine and porcine species and meats of the same species, between Argentina and Uruguay, and also the coordination of marketing policies for these products on international markets.

To this end, the annex will specify which products Argentina and Uruguay will allow to enter their respective territories, free of all levies and restrictions, originating in and coming from their respective countries.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Chile, Colombia, Paraguay, Peru, Uruguay",Goods,2020-03-17,1991-11-22,1993-06-18,"AAP.AG 2 (Articles 7 and 8 of the TM80)

Agricultural Partial Scope Agreement No. 2 (AAP.AG 2) has as its objective to promote the liberalization of trade in seeds and to establish conditions for developing harmonized national mechanisms for seeds. The signatory countries establish that seeds will be traded in their territories without any other restriction than those required to safeguard their characteristics and to ensure compliance with verification practices and trademarks, among other matters.

To this end, the imports of seeds on the common list of species, produced by propagation in the signatory countries, will be exempt from import duties, and also from customs duties and any other surcharges having equivalent effect on imports, whether these are of a fiscal, monetary, exchange-rate or other nature.

The import and export of seeds on the common list of species shall be excluded from any non-tariff restrictions, whether administrative, quantitative or import tax-related.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Chile, Paraguay, Uruguay",Goods,2020-03-17,2006-08-08,2010-12-20,"AAP.AG 3 (Articles 7 and 8 of the TM80)

Agricultural Partial Scope Agreement No. 3 (AAP.AG 3) establishes the Southern Agricultural Council (CAS) as a mechanism for dialogue, consultation and coordination of regional actions between the Ministries of Agriculture of the signatory countries, in matters that concern the sustainable development of the agricultural, forestry and fisheries sector.
"
135,Latin American Integration Association (LAIA)," Argentina, Uruguay",Goods,2020-03-18,1992-01-31,1992-01-31,"AAP.PC 1 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 1 (AAP.PC 1) regulates the supply of natural gas from Argentina to Uruguay through one or more gas pipelines, the Argentine Government guaranteeing that there will be no limitations on exports of natural gas to Uruguay.
"
135,Latin American Integration Association (LAIA)," Bolivia, Plurinational State of, Brazil",Goods,2020-03-18,1992-08-17,1992-08-17,"AAP.PC 2 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 2 (AAP.PC 2) establishes that Bolivia will guarantee the marketing, export and transport of natural gas produced in its territory to Brazil. To this end, Bolivia will not apply any restrictions on the export of natural gas produced in its territory, up to the maximum volume contracted. For its part, Brazil will not apply restrictions on the import of natural gas of Bolivian origin up to the maximum volume contracted.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of",Goods,2020-03-18,1992-09-29,1992-05-01,"AAP.PC 3 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 3 (AAP.PC 3) regulates the supply of natural gas from Bolivia to Argentina. To this end, AAP.PC 3 contains provisions on prices and forms of payment, and also on future commitments to integrated binational construction projects.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Paraguay, Uruguay",Goods,2020-03-18,1994-05-18,1994-05-18,"AAP.PC 4 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 4 (AAP.PC 4) consists of a sanitary and phytosanitary agreement by means of which standards are established with the aim of adopting the necessary sanitary and phytosanitary measures to protect the health and life of people and animals and to preserve the health of plants.

The signatory countries decided to annul this Agreement on 5 March 1998, through AAP.PC 4.1.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Paraguay, Uruguay",Goods,2020-03-18,1994-05-18,1994-05-18,"AAP.PC 5 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 5 (AAP.PC 5) consists of an Agreement for Trade Facilitation, the Recife Agreement, which has the purpose of establishing technical and operational measures to regulate the integrated controls on the border between its signatories.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of",Goods,2020-03-18,1994-03-18,1994-03-18,"AAP.PC 6 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 6 (AAP.PC 6) determines the total and reciprocal liberalization of import duties on the trade in hydrocarbons and their derivatives between the parties (Annex I).

Upon the entry into force of the AAP.CE 36, it was decided that the provisions of this Agreement that are not related to the trade liberalization programme and that have not been addressed in AAP.CE 36 will remain in force, by virtue of their strictly bilateral nature.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Paraguay, Uruguay",Goods,2020-03-18,1994-12-30,1994-12-30,"AAP.PC 7 (Articles 7 and 8 of the TM80)

Trade Promotion Partial Scope Agreement No. 7 (AAP.PC 7) consists of an agreement for the facilitation of the transport of dangerous goods, which regulates this matter among the States parties of MERCOSUR.

AAP.PC 7 includes provisions in the following areas, among others: classification and definition of the classes of dangerous goods, the risk identifiers, packaging, etc.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Paraguay, Uruguay",Goods,2020-03-18,1994-12-30,1994-12-30,"AAP.PC 8 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 8 (AAP.PC 8) consists of a facilitation agreement for the multimodal transport of goods, which establishes rules on multimodal transport document or bill of lading, responsibility of the operator and the shipper, settlement of disputes, among other matters.
"
135,Latin American Integration Association (LAIA)," Paraguay, Uruguay",Goods,2020-03-18,1996-04-12,1996-04-12,"AAP.PC 9 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 9 (AAP.PC 9) establishes an agreement on energy cooperation, which will have the following objectives: assistance between the electricity systems of both countries in the event of emergencies; absorption by the Uruguayan system of the energy surpluses of the Paraguayan hydroelectric national system, to an extent mutually convenient to both countries; unloading, storage, pumping and transport of crude oil belonging to Paraguay, through the use of the Uruguayan facilities of José Ignacio and de La Teja; reciprocal supply between the countries of hydrocarbons of any type; and refining of crude oil belonging to Paraguay in Uruguayan facilities.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of",Goods,2020-03-18,1998-02-16,1991-03-18,"AAP.PC 10 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 10 (AAP.PC 10) provides regulations for energy integration, through which the parties undertake to maintain or, where appropriate, establish the necessary internal regulations to allow energy trade and transport between Argentina and Bolivia, and also to encourage private investment in the sector, in a context of economic stability.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Chile, Colombia, Ecuador, Mexico, Paraguay, Peru, Venezuela, Bolivarian Republic of",Goods,2020-03-18,1997-12-08,1998-07-30,"AAP.PC 11 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 11 (AAP.PC 11) adopts the Framework Agreement for the Promotion of Trade by Overcoming Technical Barriers to Trade. It seeks to prevent the elaboration, adoption and application of technical regulations and technical standards and conformity assessments that constitute unnecessary technical obstacles to intraregional trade.

In addition, the parties reaffirm their rights and obligations as set out in the Agreement on Technical Barriers to Trade (TBT) of the World Trade Organization (WTO).

The AAP.PC 11 was originally signed by Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Mexico, Paraguay, Peru and Venezuela. With the accession of Uruguay and Cuba, as of 2001 it became a Regional Agreement (AAR.OTC 8).
"
135,Latin American Integration Association (LAIA)," Argentina, Peru",Goods,2020-03-18,1998-08-12,2000-02-21,"AAP.PC 12 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 12 (AAP.PC 12) establishes regulations on energy cooperation in the field of basic or applied research, exploration, development, processing, marketing, transport and storage of hydrocarbons, their derivatives and electrical power, through cooperation programmes or projects.

The mechanisms that will be adopted for cooperation shall include the promotion of new technologies, the exchange of scientific and technological information, reciprocal assistance in the training and capacity-building of scientific and technical staff, and the exchange of experts and teachers for courses and seminars.
"
135,Latin American Integration Association (LAIA)," Argentina, Peru",Goods,2020-03-18,1998-08-12,2000-03-22,"AAP.PC 13 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 13 (AAP.PC 13) aims to develop joint programmes for the drafting of sanitary regulations to prevent the trade in live animals and their products, and also to establish the necessary mechanisms for technical cooperation and permanent information exchange on this matter between the two parties.

The responsible authorities undertake to agree on identifying the animals and products of priority interest for trade, and on this basis to prepare proposed sanitary regulations for trade between both parties.
"
135,Latin American Integration Association (LAIA)," Argentina, Peru",Goods,2020-03-18,1998-08-12,2000-03-22,"AAP.PC 14 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 14 (AAP.PC 14) is aimed at boosting cooperation between the plant quarantine and health services, to facilitate international trade and the exchange of plants, products and by-products of plant origin, without risk to agriculture, human health and the environment of the parties.

A harmonized programme to combat plant health risks between both countries will facilitate the taking and application of measures for the exclusion, eradication and management of pests in agriculture.
"
135,Latin American Integration Association (LAIA)," Argentina, Ecuador",Goods,2020-03-18,2001-09-07,2007-02-27,"AAP.PC 15 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 15 (AAP.PC 15) consists of a partial scope agreement for the mutual recognition of certificates of conformity with technical regulations, and aims to promote the recognition of mandatory certification activities for products originating in both Parties.

To this end, the Parties will promote the conclusion of a memorandum of understanding between the certification bodies, for the approval of some or all of the activities developed for the certification of products.
"
135,Latin American Integration Association (LAIA)," Bolivia, Plurinational State of, Paraguay",Goods,2020-03-18,1994-03-15,1994-03-15,"AAP.PC 16 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 16 (AAP.PC 16) regulates the supply of natural gas between the parties.

To this end, Bolivia will not apply any restrictions on the export of natural gas produced in its territory intended for Paraguay, up to a maximum volume to be determined. As for Paraguay, it will not apply any restrictions on the import of natural gas of Bolivian origin, up to a maximum volume to be determined. The purchase and sale of natural gas between the two signatory countries will be free of levies, and of any other non-tariff restriction.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of",Goods,2020-03-18,2004-04-21,2004-04-21,"AAP.PC 17 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 17 (AAP.PC 17) is intended to promote investment, economic complementation and trade, in particular in favour of Bolivia.

AAP.PC 17 has among its objectives, which must be pursued through projects, programmes and specific short and medium-term activities, promotion of the productive competitiveness of the Parties, with the purpose of favouring and diversifying the exports of goods and services, in particular those of Bolivia and preferably those that have growing added value; promoting the complementarity of national products, favouring trade between the Parties and their exports to third markets; facilitating the transfer of technology; and ensuring the development of comparative and competitive advantages.
"
135,Latin American Integration Association (LAIA)," Chile, Peru",Goods,2020-03-18,2003-12-17,2004-09-16,"AAP.PC 18 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 18 (AAP.PC 18) consists of a bilateral agreement of cooperation and mutual assistance in customs matters. It stipulates that the parties shall provide cooperation and mutual assistance, to ensure the proper application of customs legislation, the prevention, investigation and suppression of customs offences and the exchange of information.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Chile, Colombia, Ecuador, Paraguay, Uruguay, Venezuela, Bolivarian Republic of",Goods,2020-03-18,2005-12-09,2010-02-26,"AAP.PC 19 (Articles 7 and 8 of the TM80)

Partial Scope Trade Promotion Agreement No. 19 (AAP.PC 19) is a framework agreement that aims to promote regional energy integration in the areas of the energy production, transportation, distribution and marketing systems in the parties, in order to safeguard energy supplies and to establish conditions to minimize the costs of energy trade transactions between those countries. In this way, it is intended to ensure a fair and reasonable valuation of said resources, strengthening the development processes in a sustainable manner, respecting the international commitments and regulatory frameworks in forces in each Party.

The AAP.PC 19 establishes that the Parties will try to implement the institutional, regulatory and technical coordination of the national activities in projects and infrastructure works that allow the exchange of energy, in order to achieve an effective energy integration, maximizing the economic and social benefits in the region.
"
135,Latin American Integration Association (LAIA)," Bolivia, Plurinational State of, Uruguay",Goods,2020-03-18,1986-09-29,1986-10-01,"AAP.A14TM 1 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 1 (AAP.A14TM 1) aims to establish favourable conditions to boost tourism between both countries, to promote the improved knowledge of their peoples through their history, culture and geography. The signatory countries will promote and support activities of both the public and private sectors, designed to ensure the effective dissemination and promotion, in their respective territories, of the tourist heritage of each country, and also the coordination of joint activities in third countries, on issues of common interest.

To comply with the objective of the Agreement, the official tourism entities of both countries will meet periodically in order to analyse and agree on various cooperation programmes.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Colombia, Mexico, Peru, Uruguay, Venezuela, Bolivarian Republic of",Goods,2020-03-18,1988-10-27,,"AAP.A14TM 2 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 2 (AAP.A14TM 2) aims to conclude an agreement for the cooperation and exchange of cultural, educational and scientific properties, which will be governed by the rules of the Montevideo Treaty 1980 and will aim to promote the formation of a common market of goods and cultural services designed to provide a broad framework for the educational, cultural and scientific cooperation of the signatory countries and to improve and raise the levels of education, training and reciprocal knowledge of the peoples of the region.

AAP.A14TM 2 includes provisions for the exchange and dissemination of educational and scientific works, works of art, collectibles and antiquities and cultural, educational and scientific dissemination activities, among others.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Chile, Paraguay, Peru, Uruguay",Goods,2020-03-18,1990-01-01,1990-05-30,"AAP.A14TM 3 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 3 (AAP.A14TM 3) adopts a single legal standard that will regulate international land transportation between the signatory countries, both in direct transport from one country to another and transit to a third country.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Chile, Colombia, Ecuador, Paraguay, Peru, Uruguay, Venezuela, Bolivarian Republic of",Goods,2020-03-18,1990-08-30,1991-03-18,"AAP.A14TM 4 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 4 (AAP.A14TM 4), the Agreement for the promotion of tourism in South America, aims to promote this region as a tourist destination. To this end, the signatory countries agree jointly to develop the activities needed to promote it as a tourist destination, both within and outside the region. To this end, national measures will be adopted, required to facilitate and encourage tourism flows from third countries to countries of the region and between those countries.

The official tourism entities of the signatory countries will meet annually to analyse, review and programme the joint cooperation and technical assistance activities.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Paraguay, Uruguay",Goods,2020-03-18,1992-06-26,1995-02-13,"AAP.A14TM 5 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 5 (AAP.A14TM 5) aims to facilitate navigation and longitudinal commercial river transport in the Paraguay–Paraná Waterway (Puerto de Cáceres-Puerto de Nueva Palmira), by establishing a framework for common regulations conducive to the development, modernization and efficiency of such operations, and that facilitate and allow access in competitive conditions for overseas markets.

The waterway includes the Paraguay and Paraná rivers, including the different branches of the Paraná estuary, from Cáceres (Brazil) to Nueva Palmira (Uruguay) and the Tamengo Canal, a tributary of the Paraguay River, shared by Bolivia and Brazil.

The provisions of AAP.A14TM 5 are applicable to navigation, trade and the transportation of goods and people. The passage of warships and other vessels engaged in non-commercial activities, and also cross-border transport across the river, is exempt from these rules.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil",Goods,2020-03-18,1992-06-27,1992-06-27,"AAP.A14TM 6 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 6 (AAP.A14TM 6) establishes the signing of a partial scope cooperation and exchange agreement on goods used for the defence and protection of the environment, which aims to encourage its signatories to take tangible steps for the defence and protection of the environment, to promote the intraregional exchange of goods intended for that purpose, and also to facilitate, in emergency situations, the temporary admission of goods and people.
"
135,Latin American Integration Association (LAIA)," Brazil, Uruguay",Goods,2020-03-18,1992-12-30,1992-12-30,"AAP.A14TM 7 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 7 (AAP.A14TM 7) provides for the signing of a partial scope agreement for the formation of a common market for Latin American books, whose objective will be to raise the levels of instruction, training and information, and the reciprocal knowledge of the different cultures of the peoples of the region.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Chile, Paraguay, Peru, Uruguay",Goods,2020-03-18,1992-09-29,2001-02-15,"AAP.A14TM 8 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 8 (AAP.A14TM 8) establishes a minimum and uniform regulatory basis for regulating international vehicular traffic in the territory of the signatory countries, through the signing of an agreement on unified basic traffic regulations.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Paraguay, Uruguay",Goods,2020-03-18,1995-05-22,1995-05-22,"AAP.A14TM 9 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 9 (AAP.A14TM 9) provides for the allocation and use of television generating and relay stations, and its purpose is the coordination and use by those generating and relay stations of the channels allocated to the broadcasting service in the established coordination areas.
"
135,Latin American Integration Association (LAIA)," Bolivia, Plurinational State of, Brazil, Chile, Paraguay, Peru, Uruguay",Goods,2020-03-18,1995-08-16,1997-05-02,"AAP.A14TM 10 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 10 (AAP.A14TM 10) establishes rules to harmonize the conditions governing the contract for the international transport of goods by land, and also rules to regulate carrier liability.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Colombia, Ecuador, Paraguay, Peru, Uruguay, Venezuela, Bolivarian Republic of",Goods,2020-03-19,1998-04-16,1998-04-16,"AAP.A14TM 11 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 11 (AAP.A14TM 11) has the objective of creating a free trade area between the MERCOSUR countries and the Andean Community, through the expansion and diversification of trade and the elimination of the levies and restrictions imposed on reciprocal trade.

To this end, the Parties agree to establish a legal and institutional framework for cooperation and economic and physical integration, which contributes to the creation of an enlarged economic space to facilitate, to the extent that they are able, the free movement of goods and services and the full use of production factors, in competitive and equal conditions.

As this is a framework agreement, it was later superseded by AAP.CE 58 and the AAP.CE 59.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, Paraguay, Uruguay",Goods,2020-03-19,1998-04-18,1998-04-18,"AAP.A14TM 12 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 12 (AAP.A14TM 12) includes a framework trade and investment agreement between MERCOSUR and the Central American Common Market.

To this end, the Parties undertake to identify, jointly and expeditiously, steps and specific actions that will lead to the deepening of their commercial links; to maintain the functioning of free market economies and to highlight private sector initiatives as sources of prosperity, with a view to promoting economic development; to strengthen and diversify cooperative activities; to encourage investment among the parties; and to agree on mechanisms for the promotion and protection of investments.
"
135,Latin American Integration Association (LAIA)," Argentina, Ecuador",Goods,2020-03-19,1999-06-02,1999-06-02,"AAP.A14TM 13 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 13 (AAP.A14TM 13) is aimed at initiating a scientific and technical cooperation programme, between the Argentine Office of the Under-Secretary for Mining and the Ecuadorian Office of the Under-Secretary for Mines, in order to evaluate and facilitate the development of the existing joint mining projects in the two countries.

To this end, the parties agree to foster the implementation of specific cooperation programmes and projects in the areas of metalliferous minerals, non-metalliferous minerals, building stone and metallurgical concentrates, both in the basic and applied research sectors, aimed at promoting innovation and the development of new products, such as the start-up of production and marketing companies.
"
135,Latin American Integration Association (LAIA)," Argentina, Peru",Goods,2020-03-19,1999-10-29,2000-12-06,"AAP.A14TM 14 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 14 (AAP.A14TM 14) is intended to encourage the implementation of specific cooperation programmes and projects in the areas of metalliferous minerals, non-metalliferous minerals, building stone and metallurgical concentrates in both the basic research and applied sectors, aimed at promoting innovation and developing new products, such as the launch of production and marketing.
"
135,Latin American Integration Association (LAIA)," Brazil, Venezuela, Bolivarian Republic of",Goods,2020-03-19,1995-07-04,1998-10-18,"AAP.A14TM 15 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 15 (AAP.A14TM 15) establishes the rules that regulate the transport by road of passengers and cargo between both countries, based on principles of reciprocity, with the aim of integrating and complementing their legitimate interests in this activity sector.
"
135,Latin American Integration Association (LAIA)," Chile, Ecuador",Goods,2020-03-19,1999-08-26,2002-01-19,"AAP.A14TM 16 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 16 (AAP.A14TM 16) is aimed at encouraging the development of specific cooperation programmes and projects in the areas of metallic minerals, non metallic minerals, ornamental rocks and metallurgical concentrates, both in the basic and applied research sectors, with the aim of promoting innovation and developing new products, and also for the start-up of manufacturing and marketing companies.

To this end, the parties agree to launch a scientific and technical cooperation programme between the Office of the Under-Secretary in the Ministry of Mining of Chile and the Office of the Under-Secretary for Mines of Ecuador, in order to evaluate and facilitate the development of the existing joint mining projects in both countries.
"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Paraguay, Uruguay",Goods,2020-03-19,2010-05-27,2011-12-10,"AAP.A14TM 17 (Articles 7 and 14 of the TM80)

Partial Scope Agreement No. 17 (AAP.A14TM 17) establishes provisions on weights and the dimensions of passenger road transport vehicles and cargo.

For this, the Agreement determines the weights and dimensions to be applied to the vehicle fleet of the parties carrying out the international transport of freight or passengers. The circulation of special vehicles or groups of vehicles that exceed the dimensions and/or maximum weights established will only be allowed subject to the prior issuance of special authorizations granted by the competent authorities on the basis of the rules in force in the transit country.
"
135,Latin American Integration Association (LAIA)," Costa Rica, Mexico",Goods,2020-03-19,1982-07-22,1984-06-15,"AAP.A25TM 1 (Article 25 of the TM80)

Partial Scope Agreement No. 1 (AAP.A25TM 1) grants concessions that strengthen and streamline trade flows between the parties, in ways compatible with their respective economic policies, and that contribute to the consolidation of the Latin American integration process.

The Agreement is based on the granting of tariff preferences relating to the levies and other restrictions imposed by the signatory countries on the import of the negotiated products. The Agreement may be extended in the future to other economic sectors.

AAP.A25TM 1 was superseded by the Free Trade Agreement signed between Mexico and Costa Rica, which entered into force on 1 January 1995.
"
135,Latin American Integration Association (LAIA)," Argentina, Costa Rica",Goods,2020-03-19,1983-08-31,1983-08-31,"AAP.A25TM 2 (Article 25 of the TM80)

Partial Scope Agreement No. 2 (AAP.A25TM 2) aims to boost the trade of signatory countries to a higher level, through the elimination or reduction of duties and other restrictions imposed on the import of negotiated products.

In addition, the Agreement includes provisions on the origin regime and safeguard clauses.

The Agreement remained in effect until 31 December 1994.
"
135,Latin American Integration Association (LAIA)," Argentina, El Salvador",Goods,2020-03-19,1983-08-27,1983-08-27,"AAP.A25TM 3 (Article 25 of the TM80)

Partial Scope Agreement No. 3 (AAP.A25TM 3) aims to boost the trade of the signatory countries to a higher level, through the elimination or reduction of duties and other restrictions imposed on the import of negotiated products.

In addition, the Agreement contains provisions regarding the origin regime and safeguard clauses.

This Agreement ceased to have effect as of 31 December 1994.
"
135,Latin American Integration Association (LAIA)," Argentina, Cuba",Goods,2020-03-19,1984-03-16,1984-06-16,"AAP.A25TM 4 (Article 25 of the TM80)

Partial Scope Agreement No.4 (AAP.A25TM 4) aims to boost the trade of the signatory countries to a higher level, through the elimination or reduction of duties and other restrictions imposed on the import of negotiated products.

In addition, the Agreement contains provisions on the origin regime and safeguard clauses.

The Agreement ceased to have effect as of 31 December 1999 and was replaced by AAP.CE 45.
"
135,Latin American Integration Association (LAIA)," Colombia, Guatemala",Goods,2020-03-19,1984-03-01,1985-09-02,"AAP.A25TM 5 (Article 25 of the TM80)

Partial Scope Agreement No. 5 (AAP.A25TM 5) is intended to boost trade through the granting of tariff and non-tariff preferences that Colombia will accord to Guatemala, with the expectation that in the future Guatemala may, when conditions permit, grant preferences to Colombia.

The Agreement contains provisions on origin (Annex II) and safeguard clauses.

The Agreement ceased to have effect as of the entry into force of the Free Trade Agreement signed by Colombia with El Salvador, Guatemala and Honduras, on 12 November 2009.
"
135,Latin American Integration Association (LAIA)," Colombia, Nicaragua",Goods,2020-03-19,1984-03-02,1985-09-02,"AAP.A25TM 6 (Article 25 of the TM80)

Partial Scope Agreement No. 6 (AAP.A25TM 6) is intended to boost trade through the granting of tariff and non-tariff preferences that Colombia will accord to Nicaragua, with the expectation that in the future Nicaragua may, when conditions permit, grant preferences to Colombia.

The Agreement contains provisions on origin (Annex II) and safeguard clauses.
"
135,Latin American Integration Association (LAIA)," Colombia, Costa Rica",Goods,2020-03-19,1984-03-02,1985-09-02,"AAP.A25TM 7 (Article 25 of the TM80)

Partial Scope Agreement No. 7 (AAP.A25TM 7) is intended to boost trade by granting tariff and non-tariff preferences that Colombia will grant accord Costa Rica, with the expectation that in the future Costa Rica may, when conditions permit, grant preferences to Colombia.

The Agreement contains provisions on origin (Annex II) and safeguard clauses.

This Agreement ceased to have effect as of the entry into force of the Free Trade Agreement signed by Colombia with Costa Rica, on 1 August 2016.
"
135,Latin American Integration Association (LAIA)," Colombia, El Salvador",Goods,2020-03-19,1984-05-24,1985-09-02,"AAP.A25TM 8 (Article 25 of the TM80)

Partial Scope Agreement No. 8 (AAP.A25TM 8) is intended to boost trade through the granting of tariff and non-tariff preferences that Colombia will accord to El Salvador, with the expectation that in the future El Salvador may, when conditions permit, grant preferences to Colombia.

The Agreement contains provisions on origin (Annex II) and safeguard clauses.

The Agreement ceased to have effect as of the entry into force of the Free Trade Agreement signed by Colombia with El Salvador, Guatemala and Honduras, on 1 February 2010.
"
135,Latin American Integration Association (LAIA)," Colombia, Honduras",Goods,2020-03-19,1984-05-30,1985-09-02,"AAP.A25TM 9 (Article 25 of the TM80)

Partial Scope Agreement No. 9 (AAP.A25TM 9) is intended to boost trade through the granting of tariff and non-tariff preferences that Colombia will accord to Honduras, with the expectation that in the future Honduras may, when conditions permit, grant preferences to Colombia.

The Agreement contains provisions on origin (Annex II) and safeguard clauses.

The Agreement ceased to have effect as of the entry into force of the Free Trade Agreement signed by Colombia with El Salvador, Guatemala and Honduras, on 27 March 2010.
"
135,Latin American Integration Association (LAIA)," Guatemala, Mexico",Goods,2020-03-19,1984-09-04,1985-06-07,"AAP.A25TM 10 (Article 25 of the TM80)

Partial Scope Agreement No. 10 (AAP.A25TM 10) is intended to promote the integration process in accordance with the provisions of the TM80 by granting preferences agreed between the parties for the import of the negotiated products.

The Agreement contains provisions on origin (Chapter IV) and safeguard clauses (Chapter V).

AAP.A25TM 10 ceased to have effect as of 15 March 2001, the date of the entry into force of the Free Trade Agreement signed between Mexico and El Salvador, Guatemala and Honduras, where Mexico and Guatemala are concerned.
"
135,Latin American Integration Association (LAIA)," Honduras, Mexico",Goods,2020-03-19,1984-12-03,,"AAP.A25TM 11 (Article 25 of the TM80)

Partial Scope Agreement No. 11 (AAP.A25TM 11) has as its purpose promotion of the integration process as established by the TM80 by granting preferences agreed between the parties for the import of negotiated products.

The Agreement includes provisions on origin (Chapter IV) and safeguard clauses (Chapter V).

AAP.A25TM 11 ceased to have effect as of 1 June 2001, the date of the entry into force of the Free Trade Agreement signed between Mexico and El Salvador, Guatemala and Honduras, where Mexico and Honduras are concerned.
"
135,Latin American Integration Association (LAIA)," Cuba, Mexico",Goods,2020-03-19,1985-03-11,1986-05-28,"AAP.A25TM 12 (Article 25 of the TM80)

Partial Scope Agreement No. 12 (AAP.A25TM 12) aims to promote the integration process as established by the TM80 by granting preferences agreed between the Parties for the import of the negotiated products.

The Agreement contains provisions on origin (Chapter IV and Annex III) and safeguard clauses (Chapter V).

AAP.A25TM 12 ceased to have effect as of 28 February 2001, the date of the entry into force of AAP.CE 51.
"
135,Latin American Integration Association (LAIA)," Mexico, Nicaragua",Goods,2020-03-19,1985-04-08,1986-08-12,"AAP.A25TM 13 (Article 25 of the TM80)

Partial Scope Agreement No. 13 (AAP.A25TM 13) is intended to promote the integration process as established by the TM80 by granting preferences agreed between the Parties for the import of negotiated products.

The Agreement contains provisions on origin (Chapter IV and Annex II) and safeguard clauses (Chapter V).

AAP.A25TM 13 ceased to have effect as of 30 June 1998.
"
